start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_beta,start_gamma,opt_beta,opt_gamma,opt_sigma
11,-6490.664640426059,144.69225144386292,True,Optimization terminated successfully.,120.0,"[-1.11706395  2.14074643 -2.88926426 -1.49032909 -0.43585656 43.29617071
 -1.90926584]","[-1.60882384  3.02303473 -2.93472728  2.64165778 -0.35314917 -2.13644045
 -1.58628788  1.67178147 -3.22161816  1.11181145]","[  0.91585178  -0.77928678  -3.19054184  -1.48723495   0.40406622
 -38.67098761   1.39426934]","[[ 1.71928551e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.63297185e-01  1.61540648e+00  0.00000000e+00  0.00000000e+00]
 [ 6.99539481e-01  9.32057978e-01  4.72993646e-15  0.00000000e+00]
 [ 5.99057594e-01 -2.02822342e-01  2.09034639e+00  2.33732864e+00]]","[[ 2.95594265  0.45268303  1.20270809  1.02995104]
 [ 0.45268303  2.67886351  1.68983927 -0.16991035]
 [ 1.20270809  1.68983927  1.35808756  0.23002226]
 [ 1.02995104 -0.16991035  0.23002226 10.2326601 ]]"
1,-6493.0421649361415,121.15594625473022,True,Optimization terminated successfully.,127.0,"[  2.97479889  -4.35495742  -4.900954    -5.90566601   3.24614804
 103.73267866   3.28647164]","[-1.23302413 -2.34698564  1.62298903  0.85254768 -2.56727381  3.347102
  2.41044742  1.40840385 -1.92518626  2.84883186]","[  0.57098561  -0.88858829  -3.43482197  -1.5217229    0.41360008
 -38.34393307   1.38875546]","[[ 1.86958306e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-3.87020789e-01  1.70799941e+00  0.00000000e+00  0.00000000e+00]
 [ 3.16291802e-01  1.20191908e+00  1.14601201e-01  0.00000000e+00]
 [ 3.08754761e+00 -2.36641193e+00 -2.39543952e+00  8.56814894e-45]]","[[ 3.4953408  -0.72356751  0.59133379  5.77242669]
 [-0.72356751  3.06704707  1.93046558 -5.23677529]
 [ 0.59133379  1.93046558  1.55778342 -2.14218991]
 [ 5.77242669 -5.23677529 -2.14218991 20.87098613]]"
9,-6512.328802777663,113.54650473594666,True,Optimization terminated successfully.,104.0,"[  -2.05348286   -1.92371238    1.95724916   -3.77185963   -2.06925867
 -198.5441977    -1.13498687]","[ 0.0231752  -1.62361586  3.67579114  2.14767955  0.49324422 -0.44426519
  0.86242832 -1.6641007  -2.67000696  3.14261372]","[  0.49635601  -0.71045034  -3.28850376  -1.44286763   0.40193718
 -38.5354882    1.35711934]","[[ 1.44707414e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.92894833e-01  2.44148130e+00  0.00000000e+00  0.00000000e+00]
 [ 3.63770092e-01  1.56698319e+00  6.88196941e-14  0.00000000e+00]
 [ 1.22974629e+00 -2.99394927e+00 -6.06633978e-01  2.72379057e+00]]","[[ 2.09402356 -0.42384054  0.52640229  1.77953405]
 [-0.42384054  6.04661831  3.71921378 -7.66985748]
 [ 0.52640229  3.71921378  2.58776501 -4.24412326]
 [ 1.77953405 -7.66985748 -4.24412326 18.26304801]]"
16,-6514.509623622577,90.11465740203857,True,Optimization terminated successfully.,63.0,"[  3.06389088   2.0932934  -10.80586718   2.33624403  -2.63043721
 -88.20171404  -3.74291529]","[-1.78013632  0.23628937 -1.21250766  2.83927925 -3.2700407  -1.3899581
 -0.08261311 -0.76496825  0.96140969  3.44972227]","[  0.4482559   -0.18980401  -3.81477577  -0.53991226   0.38378905
 -39.024519     1.31136505]","[[ 1.14530135  0.          0.          0.        ]
 [ 0.53179136  1.85358723  0.          0.        ]
 [ 0.53373983  0.01530432  1.25088192  0.        ]
 [-0.04959373 -0.81890992  1.49791537  4.04148213]]","[[ 1.31171519  0.60906136  0.61129295 -0.05679977]
 [ 0.60906136  3.71858768  0.31220613 -1.54429448]
 [ 0.61129295  0.31220613  1.849818    1.83471224]
 [-0.05679977 -1.54429448  1.83471224 19.25040121]]"
12,-6514.661910760087,96.96982288360596,True,Optimization terminated successfully.,75.0,"[  -2.11907409   -1.3791781     8.00721994   -4.85493747    3.22227867
 -185.71378925    0.88306876]","[-1.99558207 -3.18126072 -0.6052529  -3.29413753  2.18248813  3.25738751
  1.13862706 -3.60508352  2.14616237  0.7291747 ]","[  0.7324331   -0.65977311  -4.05757808  -0.90497741   0.34571027
 -38.75436254   1.23609448]","[[ 1.87461479  0.          0.          0.        ]
 [-0.7991345   1.19771911  0.          0.        ]
 [ 0.03516687  0.55092941  1.35431816  0.        ]
 [ 0.40205359 -0.5206669  -1.50322805  4.21074128]]","[[ 3.5141806  -1.49806936  0.06592433  0.75369561]
 [-1.49806936  2.07314703  0.63175563 -0.9449076 ]
 [ 0.06592433  0.63175563  2.13893759 -2.30856079]
 [ 0.75369561 -0.9449076  -2.30856079 20.42277777]]"
19,-6524.650284878582,174.37147426605225,True,Optimization terminated successfully.,142.0,"[  1.60423384  -0.52142613 -16.7142703   -5.31420646  -2.86133177
 -76.21731269   7.34946899]","[-0.71631313 -1.52475694  2.79902765 -0.32321755 -2.20739654 -0.14995397
 -2.11162902  2.39788409  1.7058519  -3.44970039]","[  0.32483761   0.05277597  -3.15874467  -1.23386616   0.38015593
 -39.11820163   1.30950299]","[[ 0.94468936  0.          0.          0.        ]
 [-1.41184586  2.1302051   0.          0.        ]
 [-0.63597659  1.60270199  1.0010416   0.        ]
 [ 0.58625936  2.53336359  1.09404323  1.31854104]]","[[ 0.89243798 -1.33375576 -0.60080032  0.55383298]
 [-1.33375576  6.53108247  4.31198487  4.56887618]
 [-0.60080032  4.31198487  3.97520418  4.78256241]
 [ 0.55383298  4.56887618  4.78256241  9.69711217]]"
20,-6529.045835254211,132.19315099716187,True,Optimization terminated successfully.,111.0,"[ 1.42545749 -4.20374341  4.62265873 -1.48093673  3.84448536 16.00311538
  2.98779755]","[ 0.31749761 -0.96288433  3.00665934  3.33767469 -2.83188529 -3.06012366
  2.0477424   1.76723166 -0.73224924 -1.73995456]","[  1.61147008  -0.81241609  -3.36035841   1.70408726   0.39617598
 -38.18920708   1.39990494]","[[ 1.86085253  0.          0.          0.        ]
 [-0.32926472  1.7226029   0.          0.        ]
 [ 0.55389508  1.05227634  1.0695993   0.        ]
 [ 4.952304   -0.23194062  1.07272942  2.28707181]]","[[ 3.46277215 -0.61271309  1.03071706  9.21550744]
 [-0.61271309  3.07577601  1.63027617 -2.03016059]
 [ 1.03071706  1.63027617  2.55812793  3.64638183]
 [ 9.21550744 -2.03016059  3.64638183 30.96055719]]"
15,-6550.072410958847,132.61107540130615,True,Optimization terminated successfully.,122.0,"[ -1.68829752  -3.1380088  -12.78105067  -2.73923118   3.86681172
  76.96695769   5.97564914]","[ 2.1330663   3.23413993  0.80496509 -0.99521907 -1.6180514  -0.68702428
 -3.97456128  1.49853892  3.05672854  4.28935668]","[  0.65728965  -0.44642063  -3.32622604   2.70647333   0.35205708
 -38.83917694   1.37786441]","[[1.24458936 0.         0.         0.        ]
 [0.52841107 1.43560997 0.         0.        ]
 [0.22248807 0.53530183 1.26478703 0.        ]
 [1.78931442 0.87767614 3.276574   5.66016463]]","[[ 1.54900268  0.6576548   0.27690628  2.2269617 ]
 [ 0.6576548   2.34019424  0.8860498   2.20549417]
 [ 0.27690628  0.8860498   1.93573523  5.01209106]
 [ 2.2269617   2.20549417  5.01209106 46.74536237]]"
22,-6554.709647311414,116.96282458305359,True,Optimization terminated successfully.,111.0,"[-1.69458586e+00 -2.21585533e-01 -4.18078455e-02 -1.21731928e-01
 -5.43219658e-01  9.17167532e+01  3.79338864e+00]","[ 3.70821859 -0.49770482 -0.2204673   3.18669818  0.11318503 -2.41024841
 -3.67214452  0.36338602  0.59801594  2.29307848]","[  0.58203393  -0.96083399  -3.95021942   3.34438335   0.35496888
 -38.25240715   1.36006274]","[[ 1.23943828  0.          0.          0.        ]
 [ 0.24899742  1.78830249  0.          0.        ]
 [ 0.64138361  0.65822991  1.24479642  0.        ]
 [ 1.71756218 -4.37559465 -0.0741217   6.32605927]]","[[ 1.53620724  0.30861693  0.7949554   2.12881231]
 [ 0.30861693  3.26002553  1.33681706 -7.39721828]
 [ 0.7949554   1.33681706  2.39415768 -1.87079748]
 [ 2.12881231 -7.39721828 -1.87079748 62.12036829]]"
8,-6689.669273765874,127.44658708572388,True,Optimization terminated successfully.,108.0,"[ -3.23101786  -2.87860323  -7.794871    -0.66720555  -2.3352069
 -56.24065044   0.75900409]","[-3.29158516  0.10774199 -3.1611938   2.99489172  2.25112333 -0.19352997
  0.80641572 -3.93893269 -1.41860367 -3.14294561]","[  0.23286009  -0.90347448  -4.48118008  -2.26879433   0.42897924
 -35.45094539   1.63989684]","[[ 2.34403849e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.66234975e+00  7.03910635e-11  0.00000000e+00  0.00000000e+00]
 [ 1.58115631e+00  9.20908615e-01  9.13949434e-01  0.00000000e+00]
 [ 5.30779175e-01 -1.95926002e+00  1.29337753e+00  6.09238971e-03]]","[[5.49451644e-20 3.89661180e-10 3.70629124e-10 1.24416682e-10]
 [3.89661180e-10 2.76340669e+00 2.62843479e+00 8.82340628e-01]
 [3.70629124e-10 2.62843479e+00 4.18343151e+00 2.17027070e-01]
 [1.24416682e-10 8.82340628e-01 2.17027070e-01 5.79328888e+00]]"
5,-inf,146.92529845237732,False,Start failed: LinAlgError: SVD did not converge,,"[ 0.77198402  0.88177444 -4.98878121  5.26707785  3.01564015 83.23355043
  3.20212731]","[-1.45135137 -2.71132342 -3.18478344  2.52508751  0.79612211 -1.01458563
  3.80729195 -1.15048036  3.43749934 -0.39617404]",,,
18,-inf,162.09427046775818,False,Start failed: LinAlgError: SVD did not converge,,"[ -3.08060148   0.04008225  -2.5026538   -1.53302467   2.91022868
 -29.91550505   1.08889837]","[ 3.40798424 -3.83989134  2.6089507   3.57086709 -2.59980123 -1.03204764
 -0.11260378  0.42438684 -3.63664608  3.30765769]",,,
17,-inf,185.0902271270752,False,Start failed: LinAlgError: SVD did not converge,,"[   1.2530352     2.07450315   -0.83307193   -6.07674328    3.76689409
 -168.90258626    6.96243751]","[ 1.36458213 -1.06870846 -3.24714026  3.20178736 -1.06056133  1.54578658
 -0.34064825  3.53541413 -2.87230391  1.4317704 ]",,,
