start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_beta,start_gamma,opt_beta,opt_gamma,opt_sigma
0,-6443.0851867522315,39.60619068145752,True,Optimization terminated successfully.,19,[  0.5  -0.5  -3.5  -1.5   0.5 -40.    1.5],"[0.34657359 0.         0.34657359 0.         0.         0.34657359
 0.         0.         0.         0.34657359]","[  0.58181307  -0.43690545  -3.70685218  -2.41897752   0.37707547
 -39.24287649   1.22284077]","[[ 1.56603813  0.          0.          0.        ]
 [-0.20213248  1.67077216  0.          0.        ]
 [ 0.38949997  0.733503    1.26183161  0.        ]
 [ 0.45383723 -0.42588723  0.40471167  2.33329644]
 [ 0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.        ]]","[[ 2.45247541 -0.31654717  0.60997181  0.71072641  0.          0.
   0.        ]
 [-0.31654717  2.83233713  1.14678579 -0.80329578  0.          0.
   0.        ]
 [ 0.60997181  1.14678579  2.28195588  0.37505801  0.          0.
   0.        ]
 [ 0.71072641 -0.80329578  0.37505801  5.995412    0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]]"
4,-6483.2650437490365,55.476146936416626,True,Optimization terminated successfully.,40,"[ 1.03252083 -2.30960442 -5.32226578 -3.81805769  0.20679335 33.77910891
  2.31787152]","[-1.05077813  1.27858011  1.81552444  0.53833266 -1.27841206  0.56859953
 -1.15735267 -1.38656606  0.26722416 -0.89173008]","[  0.76060828  -0.57440049  -3.47104753  -2.59756515   0.39586781
 -39.00843953   1.28060025]","[[ 1.90830431  0.          0.          0.        ]
 [ 0.32972911  1.70314628  0.          0.        ]
 [ 0.3317854   0.45677878  0.87704858  0.        ]
 [-0.50688227 -0.30681537  1.8150877   0.94062203]
 [ 0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.        ]]","[[ 3.64162533  0.62922349  0.63314751 -0.96728561  0.          0.
   0.        ]
 [ 0.62922349  3.00942855  0.88736039 -0.6896853   0.          0.
   0.        ]
 [ 0.63314751  0.88736039  1.08794261  1.2835972   0.          0.
   0.        ]
 [-0.96728561 -0.6896853   1.2835972   4.53037849  0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]]"
3,-6500.9134476608215,40.33302283287048,True,Optimization terminated successfully.,25,"[ -0.98317776   0.89949938   0.24488921  -4.17397953   1.05414336
 -40.05876434   0.76324349]","[ 1.98509995  1.4725776   1.30240996 -0.90036673 -0.06890135  0.32874362
  1.01917296 -0.01154123  0.96091872 -0.94630991]","[  0.62327415  -0.794257    -3.63415984  -0.90937452   0.37764629
 -38.99028859   1.30442418]","[[ 1.44969952  0.          0.          0.        ]
 [ 0.23134242  1.80761357  0.          0.        ]
 [ 0.29491312  0.55830099  1.25458487  0.        ]
 [ 3.21061116 -2.84973273  1.46872153  2.4033534 ]
 [ 0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.        ]]","[[ 2.10162869  0.33537699  0.4275354   4.65442145  0.          0.
   0.        ]
 [ 0.33537699  3.32098615  1.07741835 -4.40846503  0.          0.
   0.        ]
 [ 0.4275354   1.07741835  1.97265694  1.19847856  0.          0.
   0.        ]
 [ 4.65442145 -4.40846503  1.19847856 26.36225118  0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]]"
1,-6572.421899453293,51.83482599258423,True,Optimization terminated successfully.,52,"[-0.89911741  0.11468945  1.75014898 -1.68876921 -0.76037385 31.05082796
  0.98066259]","[ 0.06496976  0.57915982  0.09854009  0.76129574 -0.48062544 -1.46767729
  1.05058593 -0.67243889  0.73902517  0.78660847]","[  1.16098394   0.22149095  -3.6328542    0.28061759   0.35946616
 -38.44926152   1.59603963]","[[1.44052425 0.         0.         0.        ]
 [1.54958249 1.07147013 0.         0.        ]
 [0.68493383 0.24316396 1.13925954 0.        ]
 [1.60069003 0.18344096 0.25131974 4.0750721 ]
 [0.         0.         0.         0.        ]
 [0.         0.         0.         0.        ]
 [0.         0.         0.         0.        ]]","[[ 2.07511012  2.23221115  0.98666379  2.30583281  0.          0.
   0.        ]
 [ 2.23221115  3.54925412  1.32190439  2.67695275  0.          0.
   0.        ]
 [ 0.98666379  1.32190439  1.82617536  1.42729139  0.          0.
   0.        ]
 [ 2.30583281  2.67695275  1.42729139 19.26523343  0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]]"
2,-6999.5714386011,51.83700489997864,False,Warning: CG iterations didn't converge. The Hessian is not positive definite.,11,"[-0.58953573 -1.68895228 -8.02572428 -0.27960124  0.33383054 12.51712559
  3.93009828]","[ 1.0379739  -0.70259326 -1.08810866  0.77643575 -1.91220405  0.1815498
 -0.78039813 -1.32936158  1.45888716 -0.52728205]","[-4.07582349 -3.93943965 -6.0492298  -4.22879548  1.04398621 10.60296379
  1.42526797]","[[ 1.54418944  0.          0.          0.        ]
 [ 1.25567714  1.40740218  0.          0.        ]
 [ 0.02131139 -1.29582709  0.46489194  0.        ]
 [ 0.42933912 -1.05740452  3.47631213  0.27197955]
 [ 0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.        ]]","[[ 2.38452102  1.93900337  0.03290883  0.66298093  0.          0.
   0.        ]
 [ 1.93900337  3.55750597 -1.79698965 -0.94908211  0.          0.
   0.        ]
 [ 0.03290883 -1.79698965  1.89574654  2.99547273  0.          0.
   0.        ]
 [ 0.66298093 -0.94908211  2.99547273 13.46115532  0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.        ]]"
