start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_theta,opt_theta,opt_beta,opt_mu_prob
35,-3264.947456901778,3.6941978931427,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,108,"[ 7.00548598 -3.18818409 -0.02366083  0.63822082 -7.90040568 -2.02894987
  8.34675345  2.61664481 -6.44986835 -3.22288729 -6.16793981 -9.49353736
  8.54920917 -1.03585343 -3.84929855  1.96954383 -9.85371087]","[ 0.42124265 -0.56385207  1.36534208 -0.01469706  2.03207761 -5.49733888
  6.05425217  2.04810643 -6.44986835 -3.22288729 -6.16793981 -9.49353736
  8.54920917 -1.03585343 -3.84929855  1.96954383 -9.93036717]","[[ 0.42124265 -6.44986835]
 [-0.56385207 -3.22288729]
 [ 1.36534208 -6.16793981]
 [-0.01469706 -9.49353736]
 [ 2.03207761  8.54920917]
 [-5.49733888 -1.03585343]
 [ 6.05425217 -3.84929855]
 [ 2.04810643  1.96954383]]",[9.99951328e-01 4.86715523e-05]
12,-3265.6777464734632,3.927469253540039,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,105,"[-8.11066664  4.93579223 -4.75078968  8.74626301 -5.1805885  -7.54484135
  6.62225344 -6.93431367 -6.41463384  1.98765583  7.49124082 -6.06130669
 -3.79352654  5.54809676  9.43652852  0.01482372 -7.12204995]","[ 7.21350185e-01 -5.70488785e-01  1.36675015e+00 -1.44873909e-02
  2.01755748e+00 -7.64124821e+00  6.57489270e+00  1.75670248e+00
 -6.52981137e+00  1.90803784e+00  7.47410697e+00 -2.27220709e+01
 -3.94397567e+00  5.50906966e+00  9.42129843e+00 -4.06363812e-04
 -7.28850040e+00]","[[ 7.21350185e-01 -6.52981137e+00]
 [-5.70488785e-01  1.90803784e+00]
 [ 1.36675015e+00  7.47410697e+00]
 [-1.44873909e-02 -2.27220709e+01]
 [ 2.01755748e+00 -3.94397567e+00]
 [-7.64124821e+00  5.50906966e+00]
 [ 6.57489270e+00  9.42129843e+00]
 [ 1.75670248e+00 -4.06363812e-04]]",[9.99317115e-01 6.82885391e-04]
46,-3266.874722409587,3.920060157775879,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106,"[-9.81480436 -6.2335605  -9.37432974 -7.77741065  2.40298573 -5.16722183
  1.38424101  1.80390766  6.98870666 -9.90517214  7.06738919  2.39238173
 -6.74513028  5.45874776  7.10983084 -4.91473032  8.37587362]","[-9.81480436 -6.2335605  -9.37432974 -7.77741065  2.40298573 -5.16722183
  1.38424101  1.80390766 -0.17492705 -0.56193935  1.36950356 -0.0145162
  2.03851565 -1.98745775  2.48308926  2.63131753  8.7035739 ]","[[-9.81480436 -0.17492705]
 [-6.2335605  -0.56193935]
 [-9.37432974  1.36950356]
 [-7.77741065 -0.0145162 ]
 [ 2.40298573  2.03851565]
 [-5.16722183 -1.98745775]
 [ 1.38424101  2.48308926]
 [ 1.80390766  2.63131753]]",[1.65963963e-04 9.99834036e-01]
31,-3267.0832975292074,4.15397310256958,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,127,"[-8.55881706  6.83986422 -8.88864166 -4.37777128 -3.31739919 -6.5401111
 -3.7221326   4.85385133 -9.70634313  6.54346849  7.13096047 -2.54476854
 -6.92774202  2.01680816 -7.60654888 -2.70161278  9.16858362]","[-8.55843549  6.83945245 -8.88864166 -4.32085144 -3.31762399 -6.53992861
 -3.72211601  4.85396746  0.98373271 -0.56042325  1.34758466 -0.01474565
  2.04372434  1.21614847 -6.80456066  1.56010214  9.45649582]","[[-8.55843549  0.98373271]
 [ 6.83945245 -0.56042325]
 [-8.88864166  1.34758466]
 [-4.32085144 -0.01474565]
 [-3.31762399  2.04372434]
 [-6.53992861  1.21614847]
 [-3.72211601 -6.80456066]
 [ 4.85396746  1.56010214]]",[7.81739572e-05 9.99921826e-01]
0,-3267.3956840372293,4.538132905960083,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,119,"[0.   0.   0.   0.01 0.   0.   0.   0.   0.   0.   0.   0.01 0.   0.
 0.   0.   0.  ]","[ 1.23532903 -0.54130538  1.3304475  -0.01587331  2.05700299 -0.1733871
 -0.06065972  1.35102847  1.23532903 -0.54130538  1.3304475  -0.01587331
  2.05700299 -0.1733871  -0.06065972  1.35102847  0.        ]","[[ 1.23532903  1.23532903]
 [-0.54130538 -0.54130538]
 [ 1.3304475   1.3304475 ]
 [-0.01587331 -0.01587331]
 [ 2.05700299  2.05700299]
 [-0.1733871  -0.1733871 ]
 [-0.06065972 -0.06065972]
 [ 1.35102847  1.35102847]]",[0.5 0.5]
6,-3268.0480058050875,3.93359375,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,"[-8.19904278  4.44718701 -0.76245539 -6.76456442  0.0208955  -6.95375795
  3.9264075  -1.07687449 -2.37957548 -3.96975822  2.60565186 -2.75374779
 -8.24700161 -7.63988196  9.23795329  8.17161381  3.99414268]","[-8.19904278  4.44718701 -0.76245539 -6.76456442  0.0208955  -6.95375795
  3.9264075  -1.07687449  0.37210978 -0.55779657  1.35717122 -0.01521027
  2.03757373 -6.05369512  9.65376307  2.11609633 13.3874173 ]","[[-8.19904278  0.37210978]
 [ 4.44718701 -0.55779657]
 [-0.76245539  1.35717122]
 [-6.76456442 -0.01521027]
 [ 0.0208955   2.03757373]
 [-6.95375795 -6.05369512]
 [ 3.9264075   9.65376307]
 [-1.07687449  2.11609633]]",[1.53432680e-06 9.99998466e-01]
41,-3268.067098647734,4.171891927719116,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,134,"[-8.65666662 -5.96041925 -9.64662438 -0.92440167  2.6908053  -3.13415075
 -1.59236457  9.18418546  5.03926243  0.81713274 -4.3091825   7.94993598
 -5.29805766 -3.49314539  8.18129629  0.59084111  4.84635899]","[-7.27955835e-02 -5.56885456e-01  1.36414323e+00 -1.47202205e-02
  2.04784500e+00  3.71156460e-02  4.27063648e-01  2.53977604e+00
  5.03609235e+00  8.17537430e-01 -4.31157692e+00  7.54969612e+00
 -5.30162839e+00 -3.49318236e+00  8.18126084e+00  5.87768448e-01
 -3.89141486e+01]","[[-0.07279558  5.03609235]
 [-0.55688546  0.81753743]
 [ 1.36414323 -4.31157692]
 [-0.01472022  7.54969612]
 [ 2.047845   -5.30162839]
 [ 0.03711565 -3.49318236]
 [ 0.42706365  8.18126084]
 [ 2.53977604  0.58776845]]",[1.00000000e+00 1.25834575e-17]
44,-3268.082009313831,4.051213979721069,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,101,"[-8.98079035 -7.76799264 -2.30991244 -8.77943098  3.96379451 -5.85958917
 -3.95856862 -2.11748446 -1.66780734 -9.96678585 -7.75859258  7.26529127
 -9.97533875  0.16334712 -0.20995987 -3.33811678 -1.3734596 ]","[-8.97930796e+00 -7.76510470e+00 -2.30991244e+00 -8.55152754e+00
  3.96740007e+00 -5.85898523e+00 -3.95851372e+00 -2.11710013e+00
  1.75658686e+00 -5.59670234e-01  1.38763438e+00 -1.48434437e-02
  2.11318033e+00 -4.05292009e-01 -4.11282345e-01  5.63035400e-01
  1.67565590e+01]","[[-8.97930796  1.75658686]
 [-7.7651047  -0.55967023]
 [-2.30991244  1.38763438]
 [-8.55152754 -0.01484344]
 [ 3.96740007  2.11318033]
 [-5.85898523 -0.40529201]
 [-3.95851372 -0.41128235]
 [-2.11710013  0.5630354 ]]",[5.28103300e-08 9.99999947e-01]
18,-3270.635813883179,3.6236770153045654,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67,"[-7.96656194  6.66917108 -8.96076267  8.50683738 -8.01773717  6.87149903
  8.05306288  9.59141361  6.04051761  5.58955082  2.84966552  5.58992709
 -7.30895583  0.72136072  0.2844574   7.15144288 -0.74401269]","[-7.96656194  6.66917108 -8.96076267  8.50683738 -8.01773717  6.87149903
  8.05306288  9.59141361  1.17180631 -0.57010479  1.35315507 -0.01622146
  2.03374033  0.86643902  0.43296823  1.38700353  3.31671003]","[[-7.96656194  1.17180631]
 [ 6.66917108 -0.57010479]
 [-8.96076267  1.35315507]
 [ 8.50683738 -0.01622146]
 [-8.01773717  2.03374033]
 [ 6.87149903  0.86643902]
 [ 8.05306288  0.43296823]
 [ 9.59141361  1.38700353]]",[0.03500236 0.96499764]
43,-3271.8298363322892,3.76436710357666,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,113,"[ 5.75179672 -6.2964131   1.24341467 -7.95211685  3.05844253  9.10698856
  0.25464129 -1.34055014 -9.28314497  9.19549045 -7.93994632 -9.16841813
 -5.07866777 -8.68939132 -0.89764315  0.32175603 -3.74860102]","[ -1.07090368  -0.56695812   1.37673791  -0.01407625   2.03422526
   1.93290274  -2.1857196    3.51960415  -9.26968917   9.17951343
  -7.93794463  -7.22199735  -5.08636226  -8.68483192  -0.89586387
   0.3235353  -11.00374003]","[[-1.07090368 -9.26968917]
 [-0.56695812  9.17951343]
 [ 1.37673791 -7.93794463]
 [-0.01407625 -7.22199735]
 [ 2.03422526 -5.08636226]
 [ 1.93290274 -8.68483192]
 [-2.1857196  -0.89586387]
 [ 3.51960415  0.3235353 ]]",[9.99983361e-01 1.66390758e-05]
